GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HTML Compressor and Minifier,com.googlecode.htmlcompressor.taglib,CssCompressorTag,74,0,2,0,25,0,6,0,5,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.taglib,JavaScriptCompressorTag,147,0,8,0,50,0,14,0,10,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.taglib,XmlCompressorTag,72,0,0,0,24,0,6,0,6,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.taglib,HtmlCompressorTag,288,0,8,0,100,0,32,0,28,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.OptionException,4,0,0,0,2,0,1,0,1,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.Option,68,0,6,0,20,0,11,0,8,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.IllegalOptionValueException,47,0,2,0,7,0,4,0,3,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.UnknownSuboptionException,24,0,0,0,4,0,2,0,2,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.Option.LongOption,23,0,0,0,7,0,3,0,3,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.Option.DoubleOption,29,0,0,0,9,0,3,0,3,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.Option.BooleanOption,11,0,0,0,4,0,2,0,2,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser,394,0,38,0,88,0,38,0,19,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.NotFlagException,24,0,0,0,4,0,2,0,2,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.UnknownOptionException,24,0,0,0,6,0,3,0,3,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.Option.StringOption,13,0,0,0,5,0,3,0,3,0
HTML Compressor and Minifier,jargs.gnu,CmdLineParser.Option.IntegerOption,23,0,0,0,7,0,3,0,3,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.compressor,HtmlCompressorStatistics,70,0,0,0,17,0,10,0,10,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.compressor,YuiJavaScriptCompressor.DefaultErrorReporter,99,0,8,0,13,0,8,0,4,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.compressor,HtmlMetrics,73,0,0,0,18,0,12,0,12,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.compressor,YuiJavaScriptCompressor,92,0,2,0,27,0,14,0,13,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.compressor,HtmlCompressor,2816,0,266,0,664,0,229,0,96,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.compressor,XmlCompressor,225,0,14,0,57,0,22,0,15,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.compressor,YuiCssCompressor,46,0,0,0,14,0,5,0,5,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.compressor,ClosureJavaScriptCompressor,228,0,14,0,64,0,24,0,17,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.analyzer,HtmlAnalyzer,740,0,18,0,145,0,20,0,11,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.velocity,CssCompressorDirective,98,0,2,0,25,0,6,0,5,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.velocity,JavaScriptCompressorDirective,177,0,8,0,45,0,9,0,5,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.velocity,XmlCompressorDirective,86,0,0,0,20,0,6,0,6,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor.velocity,HtmlCompressorDirective,242,0,8,0,53,0,10,0,6,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor,CmdLineCompressor.CompressorFileFilter,106,0,14,0,18,0,9,0,2,0
HTML Compressor and Minifier,com.googlecode.htmlcompressor,CmdLineCompressor,1596,0,152,0,293,0,90,0,14,0
