GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fileupload,com.hazendaz.beans,ByteManipulation,35,0,0,0,8,0,2,0,2,0
fileupload,com.hazendaz.beans,InventoryItem,83,0,14,0,3,0,14,0,7,0
fileupload,com.hazendaz.beans,StateCodesBean,48,0,2,0,12,0,5,0,4,0
fileupload,com.hazendaz.beans,CarsBean,1118,0,82,0,159,0,76,0,26,0
fileupload,com.hazendaz.beans,BeanIoExample,0,69,0,4,0,14,0,4,0,2
fileupload,com.hazendaz.beans,ApplicationTest,17,0,0,0,7,0,5,0,5,0
fileupload,com.hazendaz.beans,CarsSortingBean,283,0,44,0,27,0,39,0,17,0
fileupload,com.hazendaz.beans,RandomHelper,58,0,4,0,14,0,6,0,4,0
fileupload,com.hazendaz.beans,MyValueChangeListener,7,0,0,0,3,0,2,0,2,0
fileupload,com.hazendaz.beans,StateBean,495,0,76,0,26,0,67,0,29,0
fileupload,com.hazendaz.beans,LogonBean,432,22,70,0,26,5,57,4,22,4
fileupload,com.hazendaz.beans,InventoryVendorList,141,0,24,0,9,0,22,0,10,0
fileupload,com.hazendaz.beans,BeanIo,185,70,46,0,0,6,26,12,3,12
fileupload,com.hazendaz.beans,CarsBean.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
fileupload,com.hazendaz.beans,InventoryVendorItem,625,0,112,0,15,0,89,0,33,0
fileupload,com.hazendaz.beans,CsveedExample,0,53,0,0,0,11,0,2,0,2
fileupload,com.hazendaz.beans,TestMe,104,0,8,0,17,0,8,0,4,0
fileupload,com.hazendaz.beans,PopupBean,82,0,12,0,7,0,15,0,9,0
fileupload,com.hazendaz.aes,AesTest,148,0,0,0,26,0,7,0,7,0
fileupload,com.hazendaz.aes,DoubleBug,20,0,0,0,5,0,2,0,2,0
fileupload,com.hazendaz.aes,AesTest2,145,0,2,0,35,0,9,0,8,0
fileupload,com.hazendaz.filters,MinimizeResponseStream,29,0,0,0,11,0,6,0,6,0
fileupload,com.hazendaz.filters,MinimizeFilter,652,0,38,0,91,0,25,0,6,0
fileupload,com.hazendaz.filters,MinimizeServletResponseWrapper,40,0,4,0,10,0,6,0,4,0
fileupload,com.hazendaz.servlets,TestServlet,14,0,0,0,4,0,2,0,2,0
fileupload,com.hazendaz.servlets,UploadListener,21,0,0,0,7,0,3,0,3,0
fileupload,com.hazendaz.servlets,RunnableTest,20,0,2,0,5,0,3,0,2,0
fileupload,com.hazendaz.fileupload,FileUploadBean,134,0,2,0,41,0,17,0,16,0
fileupload,com.hazendaz.fileupload,UploadedImage,47,0,4,0,16,0,10,0,8,0
fileupload,com.hazendaz.model,User,90,0,14,0,7,0,15,0,8,0
fileupload,com.hazendaz.model,UserList,88,0,14,0,5,0,14,0,7,0
fileupload,com.hazendaz.math,Calculations,149,0,16,0,35,0,11,0,2,0
fileupload,com.hazendaz.math,ByteArr,301,0,4,0,41,0,4,0,2,0
fileupload,com.hazendaz.jndi,JNDITree,108,0,6,0,27,0,10,0,7,0
fileupload,com.hazendaz.scheduler,DailyCleanup2,35,0,0,0,8,0,2,0,2,0
fileupload,com.hazendaz.scheduler,DailyCleanup3,15,0,0,0,5,0,3,0,3,0
fileupload,com.hazendaz.scheduler,DailyCleanup,60,0,2,0,11,0,3,0,2,0
fileupload,com.hazendaz.producers,FacesContextProducer,14,0,2,0,5,0,3,0,2,0
fileupload,com.hazendaz.rs,HelloWorldService,19,0,2,0,6,0,4,0,3,0
fileupload,com.hazendaz.rs,MyApplication,19,0,0,0,4,0,1,0,1,0
fileupload,com.hazendaz.rs,WebServiceBinder,36,0,0,0,7,0,4,0,4,0
fileupload,com.hazendaz.ws,HelloWorldImpl,37,0,2,0,11,0,4,0,3,0
fileupload,com.hazendaz.ws,HelloWorldClient.new HostnameVerifier() {...},11,0,2,0,4,0,3,0,2,0
fileupload,com.hazendaz.ws,HelloWorldClient,34,0,0,0,9,0,3,0,3,0
fileupload,com.hazendaz.weld,BeanProvider,4,69,0,6,2,22,0,6,0,3
fileupload,com.hazendaz.weld,DisabledClientWindowConfig,5,0,0,0,2,0,2,0,2,0
fileupload,com.hazendaz.weld,AfterDeployExtension,14,26,2,2,3,7,2,3,0,3
fileupload,com.hazendaz.weld,EagerExtension,24,65,2,6,5,13,2,5,0,3
fileupload,com.hazendaz.weld,JsfSystemEventBroadcasterDeactivator,2,9,1,1,1,3,1,2,0,2
fileupload,com.hazendaz.weld,LogManager,11,0,0,0,3,0,2,0,2,0
fileupload,com.hazendaz.swing,SwingTest.new Runnable() {...},12,0,0,0,3,0,2,0,2,0
fileupload,com.hazendaz.swing,SwingTest.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
fileupload,com.hazendaz.swing,SwingTest,259,0,0,0,56,0,4,0,4,0
fileupload,com.hazendaz.swing,HelloWorld,21,0,0,0,5,0,3,0,3,0
fileupload,com.hazendaz.encryption,PGPEncryption,305,0,6,0,63,0,6,0,3,0
fileupload,com.hazendaz.encryption,TestKeyGen,480,0,0,0,89,0,5,0,5,0
fileupload,com.hazendaz.encryption,SingleSignOnTest,624,0,40,0,161,0,29,0,9,0
fileupload,com.hazendaz.listeners,CheckLogon,7,0,0,0,4,0,4,0,4,0
fileupload,com.hazendaz.listeners,LoggingListener,32,0,2,0,8,0,4,0,3,0
fileupload,com.hazendaz.converters,NullSafeConverters,316,0,20,0,36,0,16,0,6,0
fileupload,com.hazendaz.converters,UppercaseConverter,24,0,6,0,9,0,6,0,3,0
fileupload,com.hazendaz.converters,MoneyConverter,21,0,0,0,5,0,3,0,3,0
